Date,Users,Sessions,Page_Views,Bounce_Rate,Traffic_Source,Device,Conversions
2025-01-01,1626,1497,3568,65.83,Organic,Desktop,67
2025-01-02,1959,1963,2367,49.01,Social,Mobile,166
2025-01-03,1360,691,2152,52.53,Direct,Mobile,23
2025-01-04,1794,1990,3027,57.82,Direct,Tablet,54
2025-01-05,1630,1555,3695,35.57,Direct,Tablet,68
2025-01-06,1595,2078,2495,54.18,Referral,Mobile,36
2025-01-07,1544,2051,4134,51.59,Referral,Mobile,191
2025-01-08,621,1108,2162,38.12,Social,Tablet,177
2025-01-09,966,1375,2522,67.71,Social,Tablet,65
2025-01-10,1738,634,3640,53.95,Organic,Tablet,136
2025-01-11,830,805,1391,57.79,Organic,Desktop,25
2025-01-12,1982,1704,2698,65.22,Social,Mobile,118
2025-01-13,587,2185,1418,54.97,Referral,Tablet,143
2025-01-14,1896,2495,3336,41.83,Direct,Mobile,56
2025-01-15,1623,2011,1378,34.22,Social,Desktop,43
2025-01-16,1371,1625,2796,48.26,Organic,Desktop,112
2025-01-17,630,1621,4561,38.74,Referral,Tablet,65
2025-01-18,1832,2013,3278,46.66,Social,Desktop,114
2025-01-19,1269,1165,4065,65.33,Social,Mobile,118
2025-01-20,843,1729,3088,42.97,Referral,Tablet,135
2025-01-21,1937,2395,4099,34.88,Social,Mobile,179
2025-01-22,1305,2445,3182,44.25,Referral,Mobile,180
2025-01-23,885,2100,1200,66.27,Direct,Desktop,86
2025-01-24,1715,1302,2863,40.89,Referral,Desktop,147
2025-01-25,1455,1001,1779,55.91,Referral,Desktop,37
2025-01-26,776,1329,3977,30.02,Referral,Desktop,44
2025-01-27,1684,2179,4104,44.1,Social,Desktop,73
2025-01-28,959,761,4119,42.19,Social,Tablet,77
2025-01-29,1837,801,1502,36.59,Referral,Mobile,86
2025-01-30,521,1595,3454,51.36,Social,Mobile,123
2025-01-31,752,869,4645,49.39,Organic,Mobile,193
2025-02-01,1247,2486,2751,57.7,Organic,Mobile,43
2025-02-02,1356,1415,1804,40.78,Social,Desktop,133
2025-02-03,974,1894,3146,39.77,Social,Mobile,51
2025-02-04,1582,1055,3731,36.73,Referral,Tablet,194
2025-02-05,1010,2085,2895,38.75,Direct,Tablet,105
2025-02-06,1999,2350,3773,52.32,Social,Mobile,170
2025-02-07,1199,1875,2570,46.15,Organic,Mobile,146
2025-02-08,1475,1616,1960,32.6,Referral,Tablet,174
2025-02-09,689,2325,4810,40.16,Social,Tablet,149
2025-02-10,1457,895,3660,39.88,Organic,Desktop,36
2025-02-11,1186,2348,2485,57.85,Organic,Tablet,123
2025-02-12,1457,1319,3690,58.49,Direct,Desktop,180
2025-02-13,1062,2372,4840,35.92,Referral,Desktop,156
2025-02-14,1767,937,2028,69.91,Referral,Desktop,62
2025-02-15,1331,1478,4289,40.67,Direct,Desktop,195
2025-02-16,1654,1676,1502,69.06,Direct,Desktop,58
2025-02-17,1146,1391,3814,46.44,Referral,Mobile,189
2025-02-18,520,816,1397,31.32,Referral,Tablet,45
2025-02-19,1340,1363,1870,43.8,Social,Desktop,118
2025-02-20,666,787,3842,55.37,Social,Tablet,69
2025-02-21,1797,979,1392,57.23,Direct,Tablet,172
2025-02-22,887,1092,1206,51.24,Social,Desktop,171
2025-02-23,1100,1664,2038,47.91,Organic,Mobile,32
2025-02-24,815,1780,2881,52.12,Social,Desktop,79
2025-02-25,513,614,4625,53.71,Social,Mobile,154
2025-02-26,741,2436,3939,33.23,Organic,Tablet,76
2025-02-27,1276,664,2484,44.79,Direct,Mobile,55
2025-02-28,1869,2480,4762,39.69,Organic,Mobile,192
2025-03-01,1064,2462,4646,62.13,Social,Mobile,39
